학교명,학교급구분,설립일자,설립형태,본교분교구분,소재지도로명주소,시도교육청명,교육지원청명,위도,경도
전주용소초등학교,초등학교,2005-03-01,공립,본교,전라북도 전주시 덕진구 송천4길 38,전라북도교육청,전라북도전주교육지원청,35.86223622,127.1176761
대전성모여자고등학교,고등학교,1968-11-20,사립,본교,대전광역시 중구 대흥로 62,대전광역시교육청,대전광역시동부교육지원청,36.32246468,127.4182965
전주화정중학교,중학교,2020-05-01,공립,본교,전라북도 전주시 덕진구 세병로 66,전라북도교육청,전라북도전주교육지원청,35.87164049,127.1304615
구로고등학교,고등학교,1982-04-24,공립,본교,서울특별시 구로구 가마산로27길 45,서울특별시교육청,서울특별시남부교육지원청,37.49884008,126.8903092
분향초등학교,초등학교,1934-05-19,공립,본교,전라남도 장성군 남면 황토단감로 142-11,전라남도교육청,전라남도장성교육지원청,35.23915963,126.8020646
다시초등학교,초등학교,1920-02-11,공립,본교,전라남도 나주시 다시면 다시로 203,전라남도교육청,전라남도나주교육지원청,35.01776042,126.6399994
동계고등학교,고등학교,1984-03-06,공립,본교,전라북도 순창군 동계면 강동로 74,전라북도교육청,전라북도순창교육지원청,35.45004832,127.240649
의성유니텍고등학교,고등학교,1946-09-01,공립,본교,경상북도 의성군 의성읍 문소1길 164,경상북도교육청,경상북도의성교육지원청,36.35494747,128.7010442
해남서초등학교,초등학교,1946-04-22,공립,본교,전라남도 해남군 해남읍 중앙1로 182,전라남도교육청,전라남도해남교육지원청,34.5723139,126.5970282
비두초등학교,초등학교,1947-09-01,공립,본교,강원도 원주시 문막읍 귀문로 1070,강원도교육청,강원도원주교육지원청,37.26190381,127.8348305
문정중학교,중학교,1990-01-20,공립,본교,서울특별시 송파구 문정로 73,서울특별시교육청,서울특별시강동송파교육지원청,37.48848095,127.1300209
흥진중학교,중학교,1991-03-11,공립,본교,경기도 군포시 오금로 15-35,경기도교육청,경기도군포의왕교육지원청,37.35286142,126.9285268
팔봉초등학교고파도분교장,초등학교,1961-09-01,공립,분교,충청남도 서산시 팔봉면 고파도3길 60,충청남도교육청,충청남도서산교육지원청,36.91012768,126.3338987
장천초등학교,초등학교,2008-03-01,공립,본교,경상남도 창원시 진해구 충장로 719,경상남도교육청,경상남도창원교육지원청,35.12623873,128.7071896
경구중학교,중학교,1999-11-30,사립,본교,경상북도 구미시 봉곡로9길 25,경상북도교육청,경상북도구미교육지원청,36.14854107,128.307609
다송초등학교,초등학교,1996-03-01,공립,본교,부산광역시 사하구 다대로381번길 17,부산광역시교육청,부산광역시서부교육지원청,35.06932631,128.9798381
하의고등학교,고등학교,1986-03-12,공립,본교,전라남도 신안군 하의면 곰실길 11-8,전라남도교육청,전라남도신안교육지원청,34.60603857,126.0371142
탑동초등학교,초등학교,1939-04-01,공립,본교,경기도 동두천시 탑신로 61,경기도교육청,경기도동두천양주교육지원청,37.89155643,127.1039343
충주미덕중학교,중학교,1965-03-06,사립,본교,충청북도 충주시 방아길 20,충청북도교육청,충청북도충주교육지원청,36.94672185,127.937922
영흥중학교,중학교,1965-03-02,공립,본교,인천광역시 옹진군 영흥면 내동로 107,인천광역시교육청,인천광역시남부교육지원청,37.26520659,126.4794201
